"country","year","yrcurnt","stanbs"
"AT",2007,1,0.666666686534882
"AT",2008,0,0
"AT",2009,4,0
"AT",2010,5,0
"AT",2011,2,0
"AT",2012,1,0
"AT",2013,0,NA
"BE",2007,0,0
"BE",2008,3,0.5
"BE",2009,2,0.25
"BE",2010,0,0
"BE",2011,3,0.25
"BE",2012,2,0.25
"BE",2013,1,NA
"BG",2007,2,0
"BG",2008,1,0
"BG",2009,0,0
"BG",2010,3,1
"BG",2011,2,0
"BG",2012,1,0
"BG",2013,0,NA
"CY",2007,1,0
"CY",2007,3,0
"CY",2008,0,0
"CY",2008,2,0
"CY",2009,4,0.5
"CY",2009,1,0
"CY",2010,0,0
"CY",2010,3,0
"CY",2011,4,0.5
"CY",2011,2,0
"CY",2012,3,0
"CY",2012,1,0
"CY",2013,0,NA
"CZ",2007,3,1
"CZ",2008,2,0
"CZ",2009,1,0
"CZ",2010,0,0.25
"CZ",2011,3,0.5
"CZ",2012,2,0
"CZ",2013,0,NA
"DE",2007,2,0
"DE",2008,1,0
"DE",2009,0,0
"DE",2010,3,0
"DE",2011,2,0
"DE",2012,1,0
"DE",2013,0,NA
"DK",2007,0,0
"DK",2008,3,0.25
"DK",2009,2,0
"DK",2010,1,0.25
"DK",2011,0,0
"DK",2012,3,1
"DK",2013,2,NA
"EE",2007,4,0.5
"EE",2008,3,0
"EE",2009,2,0
"EE",2010,1,0
"EE",2011,0,0
"EE",2012,4,0
"EE",2013,3,NA
"ES",2007,1,0
"ES",2008,0,0
"ES",2009,3,0
"ES",2010,2,0
"ES",2011,0,0
"ES",2012,3,0.666666686534882
"ES",2013,2,NA
"FI",2007,0,0
"FI",2008,3,0.5
"FI",2009,2,0
"FI",2010,1,0
"FI",2011,0,0
"FI",2012,3,0.75
"FI",2013,2,NA
"FR",2007,0,0
"FR",2008,4,0.666666686534882
"FR",2009,3,0
"FR",2010,2,0
"FR",2011,1,0
"FR",2012,0,0
"FR",2013,1,NA
"GR",2007,0,0
"GR",2008,3,0
"GR",2009,0,0
"GR",2010,3,1
"GR",2011,2,0
"GR",2012,0,0
"GR",2013,3,NA
"HR",2007,0,0
"HR",2008,3,0.5
"HR",2009,2,0
"HR",2010,1,0
"HR",2011,0,0
"HR",2012,3,0.75
"HR",2013,2,NA
"HU",2007,3,0.666666686534882
"HU",2008,2,0
"HU",2009,1,0
"HU",2010,0,0
"HU",2011,3,1
"HU",2012,2,0
"HU",2013,1,NA
"IE",2007,0,0
"IE",2008,4,0.333333343267441
"IE",2009,3,0.25
"IE",2010,2,0
"IE",2011,0,0
"IE",2012,4,1
"IE",2013,3,NA
"IT",2007,4,0.5
"IT",2008,3,0
"IT",2009,4,1
"IT",2010,3,0
"IT",2011,2,0
"IT",2012,1,0
"IT",2013,0,NA
"LT",2007,1,0
"LT",2008,0,0
"LT",2009,3,0
"LT",2010,2,0.5
"LT",2011,1,0
"LT",2012,0,0
"LT",2013,3,NA
"LU",2007,2,0
"LU",2008,1,0
"LU",2009,0,0
"LU",2010,4,0
"LU",2011,3,0
"LU",2012,2,0
"LU",2013,0,NA
"LV",2007,3,0.400000005960464
"LV",2008,2,0.25
"LV",2009,1,0
"LV",2010,0,0.5
"LV",2011,0,NA
"LV",2012,2,0.666666686534882
"LV",2013,1,NA
"MT",2007,1,0
"MT",2008,0,0
"MT",2009,4,0
"MT",2010,3,0
"MT",2011,2,0
"MT",2012,1,0
"MT",2013,0,NA
"NL",2007,3,0.5
"NL",2008,2,0
"NL",2009,1,0
"NL",2010,0,0
"NL",2011,3,0.75
"NL",2012,0,0
"NL",2013,3,NA
"PL",2007,3,0
"PL",2008,2,0
"PL",2009,1,0
"PL",2010,0,0
"PL",2011,4,0.5
"PL",2012,3,0
"PL",2013,2,NA
"PT",2007,2,0
"PT",2008,1,0
"PT",2009,0,0
"PT",2010,3,0
"PT",2011,0,0
"PT",2012,3,0.666666686534882
"PT",2013,2,NA
"RO",2007,2,0
"RO",2008,1,0
"RO",2009,0,0.800000011920929
"RO",2010,4,0
"RO",2011,3,0
"RO",2012,2,0
"RO",2013,1,NA
"SE",2007,3,1
"SE",2008,2,0
"SE",2009,1,0
"SE",2010,0,0
"SE",2011,3,0
"SE",2012,2,0
"SE",2013,1,NA
"SI",2007,2,0
"SI",2008,0,0
"SI",2009,4,1
"SI",2010,3,0
"SI",2011,0,0
"SI",2012,4,0.800000011920929
"SI",2013,3,NA
"SK",2007,3,1
"SK",2008,2,0
"SK",2009,1,0
"SK",2010,0,0
"SK",2011,3,1
"SK",2012,2,0
"SK",2013,1,NA
"UK",2007,3,0
"UK",2008,2,0.5
"UK",2009,1,0
"UK",2010,0,0
"UK",2011,4,1
"UK",2012,3,0
"UK",2013,2,NA
